Sample,Condition,Crossed_Alignment_Score
British,British,0.245698925
British,British,0.269272126
British,British,0.279197684
British,British,0.1563689
British,British,0.176220017
British,British,0.223366419
British,British,0.229569892
British,British,0.146443342
British,British,0.263027295
British,British,0.170016543
British,British,0.202274607
British,British,0.186104218
British,British,0.199793218
British,British,0.286641853
British,British,0.194789082
British,British,0.162572374
British,British,0.282919768
British,British,0.27299421
British,British,0.254383788
British,British,0.268031431
British,British,0.195864351
British,British,0.183664185
British,British,0.151406121
British,British,0.280438379
British,British,0.308974359
British,British,0.21592225
British,British,0.245698925
British,World,0.308767577
British,World,0.306286187
British,World,0.192142266
British,World,0.240529363
British,World,0.277750207
British,World,0.295119934
British,World,0.224607113
British,World,0.240529363
British,World,0.266583954
British,World,0.258105873
British,World,0.31745244
British,World,0.21344086
British,World,0.264102564
British,World,0.188420182
British,World,0.20471464
British,World,0.276509512
British,World,0.23573201
British,World,0.189867659
British,World,0.220678247
British,World,0.267824648
British,World,0.311248966
British,World,0.278990902
British,World,0.293879239
British,World,0.269272126
British,World,0.26038048
British,World,0.334822167
British,World,0.328618693
British,World,0.243176179
British,World,0.25789909
British,World,0.230603805
British,World,0.267824648
World,British,0.036982248
World,British,0.133136112
World,British,0.186390533
World,British,0.350591698
World,British,0.483727793
World,British,0.403846136
World,British,0.158284021
World,British,0.23816568
World,British,0.276627219
World,British,0.23816568
World,British,0.229289941
World,British,0.421597642
World,British,0.344674556
World,British,0.196745562
World,British,0.159763314
World,British,0.285502959
World,British,0.285502941
World,British,0.402366864
World,British,0.248520692
World,British,0.414199824
World,British,0.319526627
World,British,0.337278107
World,British,0.329881636
World,British,0.315088757
World,British,0.282544361
World,British,0.221893488
World,British,0.207100592
World,British,0.423076905
World,British,0.248520692
World,British,0.239644953
World,British,0.278106509
World,World,0.171597633
World,World,0.207100592
World,World,0.223372781
World,World,0.338757408
World,World,0.110946746
World,World,0.192307692
World,World,0.159763314
World,World,0.218934893
World,World,0.230769213
World,World,0.24408284
World,World,0.217455639
World,World,0.199704142
World,World,0.273668639
World,World,0.289940828
World,World,0.159763314
World,World,0.291420118
World,World,0.152366864
World,World,0.128698225
World,World,0.131656805
World,World,0.297337278
World,World,0.269230769
World,World,0.158284024
World,World,0.282544361
World,World,0.199704142
World,World,0.25887574
World,World,0.362426035
World,World,0.279585781
World,World,0.210059154
World,World,0.085798817
World,World,0.269230769
World,World,0.269230752
